country,designation,points,price,province,variety,winery
Portugal,10-Years-Old Tawny,90,30.0,Port,Port,Quinta do Noval
US,Sangiacomo Vineyards Roberts Road,90,68.0,California,Pinot Noir,Ram's Gate
US,Pataccoli Family Vineyard,90,35.0,Oregon,Pinot Noir,Redhawk
Italy,Acinatico,90,30.0,Veneto,Red Blend,Stefano Accordini
US,Cargasacchi Vineyard,90,56.0,California,Pinot Noir,Pali
France,Brut,90,38.0,Champagne,Champagne Blend,Piper-Heidsieck
France,MillÃ©sime Brut,90,55.0,Champagne,Champagne Blend,Mailly Grand Cru
Portugal,10-Year-Old Tawny,90,33.0,Port,Port,Taylor Fladgate
US,Blanc de Blancs,90,22.0,California,Sparkling Blend,Mumm Napa
US,Quarter Mile Lane Vineyard,90,125.0,Oregon,Pinot Noir,Adelsheim
US,Upper Ridge Vineyard,90,39.0,California,Tempranillo,Imagery
Austria,Ortolan CuvÃ©e Prestive,90,23.0,NiederÃ¶sterreich,White Blend,DÃ¼rnberg
US,Oro de Plata,90,33.0,California,Chardonnay,Keller Estate
US,Derbyshire Vineyard,90,20.0,California,Pinot Gris,Derby
Italy,Puer Apuliae,90,60.0,Southern Italy,Nero di Troia,Rivera
Austria,Kranachberg,90,40.0,SÃ¼dsteiermark,Sauvignon Blanc,Skoff
Chile,Quinel Vineyard,90,17.0,BÃ­o BÃ­o Valley,Chardonnay,Veranda
Italy,Donna Lisa Riserva,90,50.0,Southern Italy,Red Blend,Leone de Castris
Italy,Podere dei Ginepri,90,17.0,Piedmont,Red Blend,Nervi
US,Semi-Dry,90,17.0,New York,Riesling,Anthony Road
Chile,Ãeque,90,50.0,Maule Valley,Cabernet Sauvignon,ViÃ±a Casas Patronales
Australia,Bin 407,90,69.0,South Australia,Cabernet Sauvignon,Penfolds
US,Made With Organic Grapes,90,15.0,California,Merlot,Bonterra
US,Christian's Reserve,90,45.0,California,Tempranillo,Six Sigma Ranch
Australia,Jester,90,20.0,South Australia,Cabernet Sauvignon,Mitolo
Italy,Centosassi,90,30.0,Southern Italy,Primitivo,Amastuola
US,Naughty Little Hillsides Estate,90,25.0,California,Pinot Gris,Babcock
France,Clos Triguedina,90,25.0,Southwest France,Malbec,Jean-Luc BaldÃ¨s
France,L'Ancestrale,90,38.0,Loire Valley,Chenin Blanc,Domaine Vincent CarÃªme
Canada,Coyote Bowl Series,90,35.0,British Columbia,Syrah,Church & State
US,Conservancy,90,16.0,California,Petite Sirah,Concannon
Italy,I Bastioni,88,24.0,Tuscany,Red Blend,Collazzi
US,Foundry,88,18.0,Washington,Red Blend,Foundry Vineyards
Spain,MIM Natura Brut Reserva,88,20.0,Catalonia,Sparkling Blend,MarquÃ©s de Gelida
Italy,Mauro,88,10.0,Tuscany,Red Blend,Agricola Tamburini
France,Brut Blanc de Blancs,88,43.0,Champagne,Chardonnay,Goutorbe-Bouillot
US,Olsen Vineyard,88,25.0,Washington,RosÃ©,Gramercy
Austria,Pannonica,88,11.0,Weinland Ãsterreich,Red Blend,HÃ¶pler
Austria,Von den Terrassen,88,15.0,Wagram,GrÃ¼ner Veltliner,Josef Ehmoser
US,Reserve Century Vines,88,45.0,California,Zinfandel,Kunde
US,Di Domenico,88,33.0,California,Merlot,Le Vigne
Austria,Klosterkeller Siegendorf,88,15.0,Burgenland,Weissburgunder,Lenz Moser
US,Hurst Vineyard,88,45.0,California,Pinot Noir,Les Voleurs
Italy,Terrarossa,88,18.0,Tuscany,Red Blend,Melini
Austria,Klassik,88,11.0,NiederÃ¶sterreich,GrÃ¼ner Veltliner,Nastl
Italy,Collezione Oro Riserva,88,15.0,Tuscany,Red Blend,Piccini
Italy,Vigna Vecchia Riserva,88,30.0,Tuscany,Red Blend,Podere il Pozzo
Italy,Curva del Vescovo,88,45.0,Tuscany,Red Blend,Poggio Borgoni
US,Otton Vineyards,88,59.0,California,Merlot,Ramspur
Austria,Hedwighof,88,20.0,Burgenland,Zweigelt,Sepp Moser
Italy,Il Lugana,89,19.0,Lombardy,Turbiana,Pasini San Giovanni
Spain,Coma Vella,89,50.0,Catalonia,Red Blend,Mas d'en Gil
Chile,Corralillo,89,28.0,San Antonio,Syrah,Matetic
Australia,Aradia,89,20.0,South Australia,Chardonnay,Penley Estate
Chile,Single Vineyard,89,24.0,Peumo,CarmenÃ¨re,Valdivieso
Spain,Alges,89,16.0,Catalonia,Red Blend,Clos Pons
Italy,Rayon Blanc de Morgex et de La Salle,89,23.0,Northwestern Italy,PriÃ© Blanc,Cave du Vin Blanc de Morgex et de la Salle
Italy,Ramato,89,20.0,Northeastern Italy,Pinot Grigio,Attems
Italy,Monte Fiorentine,89,20.0,Veneto,Garganega,Ca' Rugate
Germany,Hochheimer KirchenstÃ¼ck Trocken Gold Cap,89,38.0,Rheingau,Riesling,Domdechant Werner
France,La Grande RÃ©serve du Moulin Sur Lie,89,16.0,Loire Valley,Melon,Gadais PÃ¨re et Fils
US,Estate Grown,89,38.0,Oregon,Syrah,Girardet
US,Pelos Sandberg Vineyard,89,42.0,Oregon,Pinot Noir,Iota Cellars
Italy,Confini,89,43.0,Northeastern Italy,White Blend,Lis Neris
US,Dijon Clone,89,32.0,California,Pinot Noir,Scott Family
US,La Bauge Au-Dessus,89,35.0,California,Pinot Noir,Au Bon Climat
Italy,Fabio Contato,89,25.0,Lombardy,Turbiana,CÃ Maiol
Spain,Serras del Priorat,89,30.0,Catalonia,Red Blend,Clos Figueras
France,Signature,89,19.0,Loire Valley,Melon,Domaine du Haut Bourg
Australia,Individual Vineyard Selection Dry,89,17.0,South Australia,Riesling,Pewsey Vale
Spain,Single Vineyard,89,17.0,Central Spain,Tempranillo,Volver
Spain,Norte,89,95.0,Northern Spain,Tempranillo Blend,Pujanza
US,Gold Collection,89,50.0,California,Chardonnay,Roblar
Turkey,Denizli-Guney Plateau,89,18.0,Aegean,Sauvignon Blanc,Sevilen
Israel,Mosaic,89,60.0,Judean Hills,Bordeaux-style Red Blend,Shiloh Winery
US,LumiÃ¨re,89,30.0,Washington,Chardonnay,Sparkman
US,Estate Grown,89,10.0,Washington,Syrah,StoneCap
US,Hombre,89,31.0,Washington,Red Blend,Stottle
Israel,Mt. Tabor,89,15.0,Galilee,Shiraz,Tabor
US,May's Discovery Vineyard,89,35.0,Washington,Syrah,Two Vintners
France,Les PerriÃ¨res,89,40.0,Burgundy,Chardonnay,Domaine Ferret
France,Les Pimentiers,89,38.0,Burgundy,Pinot Noir,Domaine Jean Petitot et Fils
US,Alla Prima,89,22.0,Washington,Red Blend,Foundry Vineyards
US,Estate Grown and Bottled,89,27.0,California,Pinot Noir,Gloria Ferrer
US,Conner Lee Vineyard,89,40.0,Washington,Chardonnay,Buty
US,McIntyre Vineyard,89,25.0,California,Dornfelder,Cambiata
US,Reckoning,89,39.0,Washington,Bordeaux-style Red Blend,Adams Bench
US,Red Willow Vineyard,89,60.0,Washington,Cabernet Sauvignon,Adams Bench
Spain,Privat Reserva Brut Nature,89,21.0,Catalonia,Sparkling Blend,Alta Alella
Italy,Rosso,89,20.0,Sicily & Sardinia,Red Blend,Hauner
US,Pantheon,89,25.0,California,G-S-M,Demetria
France,Hors Classe Tournant de Pouilly,89,55.0,Burgundy,Chardonnay,Domaine Ferret
US,Signature Series,90,43.0,California,Chardonnay,Darioush
US,Dijon Clone Selection,90,50.0,California,Pinot Noir,Gloria Ferrer
France,Blanc de Blancs Brut,90,46.0,Champagne,Chardonnay,Gremillet
US,Violetta Late Harvest,90,85.0,California,White Blend,Grgich Hills
US,Reichel Vineyard,90,48.0,California,Cabernet Sauvignon,Respite
US,Reserve,90,20.0,Washington,Chardonnay,Ryan Patrick
Austria,Mavie,90,25.0,Burgenland,Red Blend,MÃ¼nzenrieder
Italy,Bianca,90,16.0,Piedmont,Erbaluce,Nervi
Italy,Essentia Loci,90,36.0,Southern Italy,Primitivo,Ognissole
US,Durell Vineyard,90,56.0,California,Pinot Noir,Pali
US,Lagomarsino Vineyard,90,55.0,California,Cabernet Sauvignon,St. Francis
Austria,Grand GrÃ¼ Reserve,90,29.0,Kamptal,GrÃ¼ner Veltliner,Steininger
Austria,Steinertal Smaragd,90,42.0,Wachau,Riesling,Tegernseerhof
US,Fleur de Xel,90,24.0,California,Viognier,Tuxedo Cellars
US,Bello Rosso,90,34.0,Washington,Red Blend,Walla Walla Vintners
US,Wautoma Springs Vineyard,90,48.0,Washington,Cabernet Sauvignon,Wautoma
US,Seleccion,90,36.0,California,Barbera,BorjÃ³n
Australia,Bush Vine,90,19.0,South Australia,Grenache,Yalumba
South Africa,Galpin Peak,90,55.0,Hemel en Aarde,Pinot Noir,Bouchard Finlayson
US,Kick Ranch,83,30.0,California,Sauvignon Blanc,Delectus
Argentina,Estate,83,15.0,Mendoza Province,Malbec,DoÃ±a Paula
France,Elixir Demi-Sec Premier Cru,83,63.0,Champagne,Champagne Blend,Bertrand-Delespierre
US,RosÃ© from,83,15.0,Oregon,Pinot Noir,Cardwell Hill
France,Les Pays de Pierres DorÃ©es,83,15.0,Beaujolais,Chardonnay,Domaine Pral
Argentina,Ultra,83,22.0,Mendoza Province,Cabernet Sauvignon,Kaiken
Spain,Route 33,83,14.0,Levante,White Blend,Les Useres
Portugal,Terra de Lobos Branco,83,10.0,Tejo,Portuguese White,Quinta do Casal Branco
Spain,Aria Estate Extra Dry,83,14.0,Catalonia,Sparkling Blend,Segura Viudas
Argentina,The Angel Oak,83,25.0,Mendoza Province,RosÃ©,SignoSeis
Spain,Flare Sparkling,83,13.0,Levante,Moscato,Anecoop
Spain,Cosecha Dorada Seco,83,20.0,Spain Other,Moscatel,Bodegas GutiÃ©rrez de la Vega
Spain,MC,83,31.0,Northern Spain,Tempranillo,MarquÃ©s de CÃ¡ceres
Argentina,Ampakama Intenso,83,13.0,Other,Malbec,Casa Montes
Spain,Reserva,83,10.0,Northern Spain,Tempranillo,La Cuna de la Poesia
Argentina,Nonni,83,15.0,Mendoza Province,Cabernet Sauvignon,Angulo Innocenti
Spain,Tinto,83,10.0,Northern Spain,Tempranillo Blend,Burgo Viejo
Spain,Sparkling RosÃ©,82,10.0,Levante,Bobal,Tarantas
US,Caiden's Vineyards,82,14.0,California,Pinot Noir,Block Nine
Spain,Daimon,82,14.0,Northern Spain,Tempranillo Blend,Bodegas TobÃ­a
Argentina,Reserve,82,15.0,Mendoza Province,Malbec,Region 1
US,Bryan Creek Vineyard,90,25.0,Oregon,Pinot Blanc,Adelsheim
France,Brut Majeur,90,50.0,Champagne,Champagne Blend,Ayala
France,Grand Vintage,90,66.0,Champagne,Champagne Blend,Boizel
Spain,Flavium SelecciÃ³n,90,15.0,Northern Spain,MencÃ­a,Vinos de Arganza
France,Blanchot Grand Cru,90,80.0,Burgundy,Chardonnay,Domaine Vrignaud
Germany,Bernkasteler Badstube SpÃ¤tlese,90,37.0,Mosel,Riesling,Dr. H. Thanisch (Erben Thanisch)
Argentina,ColecciÃ³n,90,19.0,Mendoza Province,Malbec,Finca Perdriel
Italy,Freccianera Brut,90,45.0,Lombardy,Sparkling Blend,Fratelli Berlucchi
US,Rodgers Creek Vineyard,90,30.0,California,Pinot Noir,Garnet
Germany,Bernkasteler Badstube Kabinett,90,31.0,Mosel,Riesling,Joh. Jos. PrÃ¼m
Italy,Pergole Vece Riserva,90,151.0,Veneto,Red Blend,Le Salette
Germany,Abtsberg Superior,90,60.0,Mosel,Riesling,Maximin GrÃ¼nhÃ¤user
Italy,Col Fondo,90,20.0,Veneto,Glera,Ca' dei Zago
France,Emotion,90,30.0,Alsace,Sparkling Blend,Domaine Charles Baur
France,Aigrots Premier Cru,90,72.0,Burgundy,Chardonnay,Albert Morot
Spain,ADM Crianza,90,25.0,Northern Spain,Tempranillo,Altos del MarquÃ©s
Italy,Quintessence Extra Brut Riserva,90,60.0,Lombardy,Sparkling Blend,Antica Fratta
Italy,Ca' Coato,90,52.0,Veneto,Red Blend,Antolini
Germany,Lorche Trocken,90,33.0,Rheingau,Riesling,August Kesseler
Italy,Duemilaotto Metodo Classico,90,40.0,Italy Other,Red Blend,Rivetti Massimo
France,Vau de Vey Premier Cru,90,39.0,Burgundy,Chardonnay,Romain Bouchard
US,Estate CuvÃ©e,90,55.0,California,Pinot Noir,Small Vines
Italy,Vigne di Catullo,90,25.0,Lombardy,Turbiana,Tenuta Roveglia
Germany,Wachenheimer Dry,90,16.0,Pfalz,Riesling,Villa Wolf
Spain,Crianza,90,25.0,Northern Spain,Tempranillo Blend,ViÃ±a Valoria
Italy,Metodo Classico Brut,90,35.0,Lombardy,Turbiana,Zenato
US,MÃ©lange Red Varietal Blend,88,14.0,Washington,Red Blend,Waterbrook
US,Cellar Select Artist Series Dan Ostergaard Estate Bottled,88,42.0,Washington,Syrah,Goose Ridge
Italy,Quercetonda,87,50.0,Tuscany,Sangiovese,Le Casalte
France,RÃ©serve du ChÃ¢teau,87,15.0,Bordeaux,Bordeaux-style Red Blend,Dourthe
US,Barrica,87,24.0,California,AlbariÃ±o,Metate Hill Vineyards
Italy,Seretina Riserva,87,28.0,Tuscany,Red Blend,Monterotondo
US,RosÃ© of,87,15.0,New York,Pinot Noir,Fox Run
France,Carte d'Or Brut,87,40.0,Champagne,Champagne Blend,Goutorbe-Bouillot
US,Estate Grown and Produced,87,25.0,California,Zinfandel,Oakville Winery
Italy,Glogglhof St. Magdalener Classico,89,25.0,Northeastern Italy,Schiava,Franz Gojer-GlÃ¶gglhof
Portugal,Guru,89,45.0,Douro,Portuguese White,Wine & Soul
Portugal,Lua Cheia em Vinhas Velhas,89,14.0,Douro,Portuguese Red,Wines & Winemakers
Germany,Dry,89,16.0,Mosel,Riesling,Peter Nicolay
US,Reserve,89,40.0,Oregon,Pinot Noir,Argyle
France,La Grange Vieilles Vignes Sur Lie,89,17.0,Loire Valley,Melon,Domaine Luneau-Papin
Italy,Catulliano,89,16.0,Lombardy,Turbiana,Pratello
Portugal,EdiÃ§Ã£o Reserva,89,24.0,Minho,Portuguese White,Quinta da CalÃ§ada
Portugal,Torre de Menagem Escolha,89,13.0,Vinho Verde,Portuguese White,Quintas de MelgaÃ§o
US,Bush Crispo Vineyard,89,70.0,California,Pinot Noir,Ram's Gate
Italy,Le Rive,89,35.0,Veneto,Garganega,Suavia
US,Stuhlmuller Vineyards Reserve,89,32.0,California,Chardonnay,Summers
Italy,Ventidue,89,35.0,Southern Italy,Falanghina,Villa Raiano
US,Treehouse Estate,89,28.0,Oregon,Pinot Noir,Vista Hills
Chile,CuvÃ©e Alexandre Apalta Vineyard,89,24.0,Colchagua Valley,Syrah,Lapostolle
US,667,89,15.0,California,Pinot Noir,Noble Vines
Italy,Praepositus Riserva,89,45.0,Northeastern Italy,Pinot Nero,Abbazia di Novacella
Spain,Organic,89,14.0,Catalonia,Pansa Blanca,Alta Alella
Italy,TriskelÃ¨,89,40.0,Sicily & Sardinia,Red Blend,Duca di Salaparuta
US,Ciel du Cheval Vineyard,89,50.0,Washington,Cabernet Franc,Fidelitas
US,Lawrence Vineyards Freyja,89,14.0,Washington,Viognier-Roussanne,GÃ¥rd
US,Lawrence Vineyards Grand Klasse,89,22.0,Washington,Pinot Gris,GÃ¥rd
France,Les Vaucrains Premier Cru,89,148.0,Burgundy,Pinot Noir,Jean-Luc and Paul Aegerter
Spain,Roble,89,11.0,Northern Spain,Tempranillo,Tierras Guindas
Greece,Reserve,89,19.0,Naoussa,Xinomavro,Tsantali
Greece,Reserve,89,24.0,Santorini,Assyrtico,Santo Wines
US,Ciel du Cheval Vineyard,89,25.0,Washington,Sangiovese,Kaella
US,Magnolia Lane,89,17.0,California,Sauvignon Blanc,Kunde
US,Estate Bottled Barrel Fermented,89,13.0,New York,Chardonnay,Lamoreaux Landing
Spain,Reserva,89,42.0,Northern Spain,Tempranillo,Linaje Garsea
Italy,Don Antonio,89,42.0,Sicily & Sardinia,Nero d'Avola,Morgante
Spain,Ultreia La Claudina,89,62.0,Northern Spain,Godello,RaÃºl PÃ©rez
US,Ryan's,89,10.0,Washington,Riesling,Ryan Patrick
Turkey,Centum,89,45.0,Aegean,Syrah,Sevilen
US,Good Earth Vineyard,89,24.0,Washington,Syrah,Stottle
Italy,LamÃ¹ri,89,20.0,Sicily & Sardinia,Nero d'Avola,Tasca d'Almerita
US,Steel,89,14.0,Washington,Chardonnay,Three Rivers
US,Zaca Mesa Vineyard,89,16.0,California,Viognier,Zaca Mesa
France,Climat La Martine,89,27.0,Burgundy,Chardonnay,Bret Brothers
Italy,KatÃ ,89,19.0,Southern Italy,Catalanesca,Cantine Olivella
Italy,Falango,89,15.0,Southern Italy,Falanghina,Colli di Castelfranci
US,Big Blend,89,22.0,New York,Red Blend,Atwater
US,Star Lane Vineyard,88,34.0,California,Syrah,Dierberg
France,CÃ´te de Grisey CuvÃ©e Juliette,88,30.0,Burgundy,Pinot Noir,Domaine Dominique Gruhier
US,Foggy Oaks,88,20.0,California,Chardonnay,Dry Creek Vineyard
US,Dry,90,17.0,New York,Riesling,Anthony Road
Canada,Alibi,90,25.0,British Columbia,Semillon-Sauvignon Blanc,Black Hills
US,Manchester Ridge Vineyard,90,45.0,California,Pinot Noir,Castello di Amorosa
US,Reserve,90,30.0,California,Roussanne,Callaway
US,Caliche Lake Vineyard,90,10.0,Washington,Riesling,For a Song
US,Danforth Reserve,90,37.0,Washington,Cabernet Sauvignon,Genoa
France,ChÃ¢teau de Haute-Serre Grand Vin Seigneur,90,25.0,Southwest France,Malbec,Georges Vigouroux
Austria,Spiegel,90,37.0,Thermenregion,Zierfandler,Johanneshof Reinisch
Austria,Goldberg Reserve,90,35.0,Burgenland,BlaufrÃ¤nkisch,Kirnbauer
US,Brut RosÃ©,90,14.0,California,Sparkling Blend,Korbel
Chile,Royale Los Lingues Vineyard,90,26.0,Colchagua Valley,Cabernet Sauvignon,Koyle
US,Tomahawk Vineyard,90,140.0,California,Cabernet Sauvignon,Chimney Rock
US,Corallina RosÃ© of,90,25.0,California,Syrah,Cornerstone
Canada,Qwam Qwmt,90,25.0,British Columbia,Chardonnay,Nk'Mip Cellars
Austria,Reserve,90,37.0,NiederÃ¶sterreich,Weissburgunder,Martinshof
Italy,Dei Mazzoni,90,40.0,Piedmont,Nebbiolo,Tiziano Mazzoni
France,MonniÃ¨res-Saint-Fiacre,90,28.0,Loire Valley,Melon,Domaine du Fief aux Dames
France,Le Clos,90,30.0,Loire Valley,Cabernet Franc,Domaine les Pins
Austria,Tradition,90,18.0,NiederÃ¶sterreich,GrÃ¼ner Veltliner,DÃ¼rnberg
Chile,Limited Edition,90,25.0,Central Valley,Cabernet Sauvignon,Echeverria
US,Old Camp,90,48.0,California,Pinot Noir,Sanglier Cellars
Austria,Schnabel Reserve,90,25.0,Kremstal,GrÃ¼ner Veltliner,Sepp Moser
Italy,Contessa Maggi,90,45.0,Lombardy,Sparkling Blend,Montenisa
Spain,Crianza,90,15.0,Levante,Red Blend,Monterebro
Italy,Capitel della Crosara,90,50.0,Veneto,Red Blend,Montresor
Portugal,EdiÃ§Ã£o Reserva,90,23.0,Minho,Portuguese White,Quinta da CalÃ§ada
Portugal,Casa do CapitÃ£o-mor,90,18.0,Vinho Verde,Alvarinho,Quinta de PaÃ§os
US,Ribbon Springs Vineyard,90,25.0,Oregon,Auxerrois,Adelsheim
Spain,Roble,90,13.0,Northern Spain,MencÃ­a,Encanto
Portugal,His Eminence's Choice 10-Years-Old Tawny,90,30.0,Port,Port,Delaforce
Italy,Pas DosÃ©,90,84.0,Lombardy,Chardonnay,Ferghettina
Italy,MilledÃ¬ Brut,90,60.0,Lombardy,Chardonnay,Ferghettina
Italy,Electo Brut,90,36.0,Lombardy,Sparkling Blend,Majolini
US,Shea Vineyard,90,56.0,Oregon,Pinot Noir,Pali
Italy,Leone Zardini Riserva,90,55.0,Veneto,Red Blend,Pietro Zardini
Italy,Corte BrÃ ,90,50.0,Veneto,Red Blend,Sartori
US,Block 10,90,44.0,Oregon,Pinot Noir,Winter's Hill
Italy,Castelrotto,90,80.0,Veneto,Red Blend,DomÃ¬ni Veneti
Germany,Bernkasteler Badstube Auslese,90,53.0,Mosel,Riesling,Dr. H. Thanisch (Erben Thanisch)
Italy,Brut RosÃ©,90,40.0,Lombardy,Sparkling Blend,Fratelli Berlucchi
France,Clos des Guettes Premier Cru,90,54.0,Burgundy,Chardonnay,Louis Jadot
France,La RÃ©serve d'AmÃ©lie,82,18.0,Beaujolais,Chardonnay,GÃ©rard Charvet
Spain,TradiciÃ³n Barrica,82,27.0,Galicia,Red Blend,Adegas Moure
Spain,Alcanta Gran Reserva,81,18.0,Levante,Red Blend,Bocopa
Spain,Gran Reserva,81,10.0,Levante,Tempranillo-Cabernet Sauvignon,Torre Oria
Italy,Monprivato,99,175.0,Piedmont,Nebbiolo,Mascarello Giuseppe e Figlio
US,Diane Cobb Coastlands Vineyard,97,85.0,California,Pinot Noir,Cobb
US,Ascent,96,90.0,California,Syrah,Terre Rouge
US,Katherine Lindsay Estate,96,85.0,California,Pinot Noir,Paul Hobbs
Italy,Lazzairasco,95,46.0,Piedmont,Nebbiolo,Guido Porro
US,La Paciencia Vineyard,95,75.0,Washington,Tempranillo,No Girls
Italy,Riserva,95,75.0,Tuscany,Sangiovese,Amantis
US,Sentinel Oak Vineyard Pyramid Block,95,40.0,California,Syrah,Terre Rouge
US,Reserve,95,85.0,Washington,Cabernet Sauvignon,Gramercy
US,Estate,95,165.0,California,Cabernet Sauvignon,Hourglass
US,Deer Meadows Vineyard,95,55.0,California,Pinot Noir,Waits-Mast
US,Beckstoffer Missouri Hopper Vineyard,95,125.0,California,Cabernet Sauvignon,Janzen
US,Toboni Vineyard,94,55.0,California,Pinot Noir,Gary Farrell
US,Peters Vineyard Winemaker's Reserve,94,48.0,California,Pinot Noir,Kokomo
US,Mariah Vineyard,94,42.0,California,Pinot Noir,Waits-Mast
Spain,ViÃ±a el Pison,94,300.0,Northern Spain,Tempranillo,Artadi
US,Jolie Bouche Boushey Vineyard,94,44.0,Washington,Syrah,Efeste
Italy,San Enrico,87,15.0,Tuscany,Red Blend,Tenuta La Gigliola
US,The Composer,87,30.0,Washington,Riesling,Rasa
US,Dry RosÃ© of,87,26.0,California,Cabernet Franc,Virage
Italy,Ducceto,87,15.0,Tuscany,Red Blend,Bartali
US,Lot 466,87,12.0,California,Red Blend,Cameron Hughes
France,Les Armoiries de Belcier,87,18.0,Bordeaux,Bordeaux-style Red Blend,ChÃ¢teau de Belcier
US,Ciel du Cheval Vineyard,87,45.0,Washington,Sangiovese Grosso,Cana's Feast
US,Purisima Mountain Vineyard Grenache,87,25.0,California,RosÃ©,Beckmen
Spain,Vendimia Seleccionada San NicolÃ¡s De Tolentino,87,10.0,Northern Spain,Garnacha-Tempranillo,MarquÃ©s de Almonacid
Spain,Crianza,87,12.0,Northern Spain,Tempranillo-Garnacha,Castillo Clavijo
Italy,Fonte alla Selva,87,25.0,Tuscany,Red Blend,Banfi
Spain,Roble,87,13.0,Levante,Red Blend,Casa de la Ermita
Italy,Clemente VII Riserva,87,30.0,Tuscany,Sangiovese,Castelli del Grevepesa
Italy,Castelgreve,87,15.0,Tuscany,Sangiovese,Castelli del Grevepesa
US,Jayson,90,50.0,California,Chardonnay,Pahlmeyer
Italy,Uvaggio,90,35.0,Piedmont,Red Blend,ProprietÃ  Sperino
Australia,Finisterre,90,33.0,Western Australia,Chardonnay,Robert Oatley
Italy,Percristina,90,120.0,Piedmont,Nebbiolo,Domenico Clerico
Australia,The Bamboo Scrub Single Vineyard,90,85.0,South Australia,Shiraz,D'Arenberg
Australia,Little Venice Single Vineyard,90,85.0,South Australia,Shiraz,D'Arenberg
Australia,The Shipster's Rapture Single Vineyard,90,85.0,South Australia,Shiraz,D'Arenberg
Australia,Tyche's Mustard Single Vineyard,90,85.0,South Australia,Shiraz,D'Arenberg
Australia,G.A.M.,90,55.0,South Australia,Shiraz,Mitolo
South Africa,Appellation Series,90,50.0,Elgin,Chardonnay,Boschendal
US,Thompson Vineyard Reserve,90,22.0,California,Cabernet Franc,Charles B. Mitchell
France,Les Illustres Sur Lie,90,19.0,Loire Valley,Melon,Chateau de l'OiseliniÃ¨re
Greece,Agiorgitiko by Gaia,88,29.0,Nemea,Agiorgitiko,Gaia Wines
Greece,Thalassitis,88,29.0,Santorini,Assyrtico,Gaia Wines
US,Estate Bottled Unoaked,88,15.0,New York,Chardonnay,Lamoreaux Landing
France,Epenots Premier Cru,88,95.0,Burgundy,Pinot Noir,Louis Latour
Italy,Satyricon,88,45.0,Southern Italy,Aglianico,Luigi Tecce
Spain,Vetiver Vendimia,88,14.0,Northern Spain,Viura,Bodegas OntaÃ±Ã³n
Italy,Cesco dell'Ermo,88,25.0,Southern Italy,Falanghina,Cantina del Taburno
France,Buti Nages,88,10.0,RhÃ´ne Valley,RhÃ´ne-style Red Blend,ChÃ¢teau de Nages
Italy,Rosso,88,49.0,Sicily & Sardinia,Red Blend,Cottanera
US,Redhead,88,10.0,Washington,Red Blend,Ryan Patrick
US,Solitude,88,16.0,Washington,Sauvignon Blanc,Sol Stone
Italy,Cantodoro,88,14.0,Sicily & Sardinia,Red Blend,Stemmari
Israel,Mt. Tabor,88,15.0,Galilee,Cabernet Sauvignon,Tabor
Italy,Vigna Camarato Riserva,88,79.0,Southern Italy,Red Blend,Villa Matilde
Greece,Kyklos,88,12.0,Peloponnese,Moschofilero,Voyatzis
US,Conner Lee Vineyard,88,25.0,Washington,Chardonnay,Woodinville Wine Cellars
US,Spring Creek Vineyard,88,15.0,Washington,GrÃ¼ner Veltliner,Pacific Rim
US,Platinum,88,16.0,California,Red Blend,Quadrant
US,Firepeak Estate,88,30.0,California,Pinot Noir,Baileyana
England,Blanc de Blancs,94,45.0,England,Chardonnay,Hattingley Valley Wines
England,South Ridge CuvÃ©e Merret Brut,94,38.0,England,Sparkling Blend,Ridgeview Estate
US,Chamise,94,60.0,California,Chardonnay,Chamisal Vineyards
US,1870,94,120.0,California,Pinot Noir,Donum
Italy,Fontalloro,94,62.0,Tuscany,Sangiovese,Felsina
US,Beckstoffer G III,94,100.0,California,Cabernet Sauvignon,Hunnicutt
US,Beckstoffer To Kalon Vineyard,94,175.0,California,Cabernet Sauvignon,Janzen
US,Rocca,94,90.0,California,Nebbiolo,Palmina
US,Vista Verde Vineyard Late Harvest,94,40.0,California,GewÃ¼rztraminer,Williams Selyem
US,Stoney Vine Vineyard,94,50.0,Washington,Syrah,Ardor
Italy,Monvigliero,94,63.0,Piedmont,Nebbiolo,Comm. G. B. Burlotto
France,CuvÃ©e Etienne Henri,94,60.0,Loire Valley,Sauvignon Blanc,Henri Bourgeois
US,HJW Vineyard,94,39.0,New York,Riesling,Hermann J. Wiemer
US,Reserve,94,150.0,Washington,Bordeaux-style Red Blend,Leonetti Cellar
US,Querencia Brut,94,55.0,California,Sparkling Blend,Schramsberg
England,Blanc de Blancs,94,49.0,England,Chardonnay,Wiston Estate Winery
US,Jensen Vineyard,94,85.0,California,Pinot Noir,Calera
US,Selleck Vineyard,94,90.0,California,Pinot Noir,Calera
US,Estate,94,85.0,Washington,Bordeaux-style Red Blend,Figgins
England,RosÃ©,94,44.0,England,Sparkling Blend,Wiston Estate Winery
US,Oppenlander Vineyard,94,44.0,California,Pinot Noir,Waits-Mast
US,Sisquoc,94,50.0,California,Nebbiolo,Palmina
US,DTR Ranch,94,40.0,California,Syrah,Terre Rouge
US,Barrel Select,94,85.0,California,Bordeaux-style Red Blend,Virage
Spain,15 Reserva,94,66.0,Northern Spain,Tempranillo,GarcÃ­a Figuero
Italy,Meleto,87,22.0,Tuscany,Red Blend,Castello di Meleto
US,Big,87,10.0,California,Red Blend,Dark Horse
US,Chaleur Estate,87,40.0,Washington,Bordeaux-style White Blend,DeLille
